mh mH cba tb Z4 Z5 Z7 chisq tot_hbobs stb uni per mA Gamma_h Gamma_A mHc l6 l7 m12_2 S T U V W X  chisqdiff
125.000000 500.000000 -0.104000 1.500000 -1.976606 1.892977 0.000000 83.408787 4.481493e-01 0 1 1 364.285754 5.203518e-03 4.788411e+00 5.000000e+02 2.775558e-17 6.938894e-17 1.007878e+05 -6.493012e-03 7.506636e-03 2.845321e-05 -1.275244e-04 -1.284840e-04 -2.367645e-05 7.64124
125.000000 500.000000 -0.104000 1.870000 -1.976606 1.892977 0.000000 84.593431 4.370653e-01 0 1 1 364.285754 5.477247e-03 3.126960e+00 5.000000e+02 5.551115e-17 6.938894e-17 9.535626e+04 -6.493012e-03 7.506636e-03 2.845321e-05 -1.275244e-04 -1.284840e-04 -2.367645e-05 8.82588
125.000000 500.000000 -0.104000 2.240000 -1.976606 1.892977 0.000000 86.215140 4.230697e-01 0 1 1 364.285754 5.755762e-03 2.224300e+00 5.000000e+02 -2.775558e-17 -1.110223e-16 8.708532e+04 -6.493012e-03 7.506636e-03 2.845321e-05 -1.275244e-04 -1.284840e-04 -2.367645e-05 10.4476
125.000000 500.000000 -0.078000 1.500000 -1.958312 1.911271 0.000000 80.381595 4.893264e-01 0 1 1 364.285754 4.983989e-03 4.749766e+00 5.000000e+02 0.000000e+00 5.551115e-17 1.046323e+05 -6.817524e-03 4.222483e-03 9.530912e-06 -1.601161e-04 -1.482102e-04 -2.367645e-05 4.61404
125.000000 500.000000 -0.078000 1.870000 -1.958312 1.911271 0.000000 81.127438 4.798081e-01 0 1 1 364.285754 5.182487e-03 3.088315e+00 5.000000e+02 2.775558e-17 3.816392e-17 9.769145e+04 -6.817524e-03 4.222483e-03 9.530912e-06 -1.601161e-04 -1.482102e-04 -2.367645e-05 5.35989
125.000000 500.000000 -0.078000 2.240000 -1.958312 1.911271 0.000000 82.152092 4.678408e-01 0 1 1 364.285754 5.382878e-03 2.185655e+00 5.000000e+02 4.163336e-17 -1.387779e-16 8.874700e+04 -6.817524e-03 4.222483e-03 9.530912e-06 -1.601161e-04 -1.482102e-04 -2.367645e-05 6.38454
125.000000 500.000000 -0.078000 2.610000 -1.958312 1.911271 0.000000 83.419009 4.547952e-01 0 1 1 364.285754 5.586407e-03 1.645071e+00 5.000000e+02 -1.110223e-16 2.498002e-16 8.031348e+04 -6.817524e-03 4.222483e-03 9.530912e-06 -1.601161e-04 -1.482102e-04 -2.367645e-05 7.65146
125.000000 500.000000 -0.078000 2.980000 -1.958312 1.911271 0.000000 84.782050 4.413481e-01 0 1 1 364.285754 5.793709e-03 1.299427e+00 5.000000e+02 -5.551115e-17 -5.551115e-17 7.289304e+04 -6.817524e-03 4.222483e-03 9.530912e-06 -1.601161e-04 -1.482102e-04 -2.367645e-05 9.0145
125.000000 500.000000 -0.078000 3.350000 -1.958312 1.911271 0.000000 86.278611 4.278627e-01 0 1 1 364.285754 6.005138e-03 1.068394e+00 5.000000e+02 1.387779e-17 2.775558e-17 6.649333e+04 -6.817524e-03 4.222483e-03 9.530912e-06 -1.601161e-04 -1.482102e-04 -2.367645e-05 10.5111
125.000000 500.000000 -0.052000 1.500000 -1.945245 1.924338 0.000000 78.130107 5.331724e-01 0 1 1 364.285755 4.766490e-03 4.722163e+00 5.000000e+02 0.000000e+00 5.551115e-17 1.083512e+05 -7.049319e-03 1.876659e-03 -3.985016e-06 -1.833960e-04 -1.623003e-04 -2.367645e-05 2.36256
125.000000 500.000000 -0.052000 1.870000 -1.945245 1.924338 0.000000 78.493184 5.259432e-01 0 1 1 364.285755 4.894208e-03 3.060712e+00 5.000000e+02 -1.387779e-17 3.816392e-17 9.990647e+04 -7.049319e-03 1.876659e-03 -3.985016e-06 -1.833960e-04 -1.623003e-04 -2.367645e-05 2.72563
125.000000 500.000000 -0.052000 2.240000 -1.945245 1.924338 0.000000 79.000031 5.168766e-01 0 1 1 364.285755 5.022059e-03 2.158052e+00 5.000000e+02 0.000000e+00 -6.245005e-17 9.029845e+04 -7.049319e-03 1.876659e-03 -3.985016e-06 -1.833960e-04 -1.623003e-04 -2.367645e-05 3.23248
125.000000 500.000000 -0.052000 2.610000 -1.945245 1.924338 0.000000 79.612960 5.069204e-01 0 1 1 364.285755 5.150898e-03 1.617468e+00 5.000000e+02 -1.387779e-17 9.714451e-17 8.148652e+04 -7.049319e-03 1.876659e-03 -3.985016e-06 -1.833960e-04 -1.623003e-04 -2.367645e-05 3.84541
125.000000 500.000000 -0.052000 2.980000 -1.945245 1.924338 0.000000 80.314235 4.965484e-01 0 1 1 364.285755 5.281160e-03 1.271824e+00 5.000000e+02 7.632783e-17 -1.387779e-16 7.382251e+04 -7.049319e-03 1.876659e-03 -3.985016e-06 -1.833960e-04 -1.623003e-04 -2.367645e-05 4.54668
125.000000 500.000000 -0.052000 3.350000 -1.945245 1.924338 0.000000 81.093060 4.860204e-01 0 1 1 364.285755 5.413086e-03 1.040791e+00 5.000000e+02 4.857226e-17 -4.163336e-17 6.725427e+04 -7.049319e-03 1.876659e-03 -3.985016e-06 -1.833960e-04 -1.623003e-04 -2.367645e-05 5.32551
125.000000 500.000000 -0.052000 3.720000 -1.945245 1.924338 0.000000 81.941760 4.754884e-01 0 1 1 364.285755 5.546823e-03 8.818672e-01 5.000000e+02 6.245005e-17 -5.551115e-17 6.163221e+04 -7.049319e-03 1.876659e-03 -3.985016e-06 -1.833960e-04 -1.623003e-04 -2.367645e-05 6.17421
125.000000 500.000000 -0.052000 4.090000 -1.945245 1.924338 0.000000 82.853642 4.650453e-01 0 1 1 364.285755 5.682464e-03 7.708557e-01 5.000000e+02 -3.469447e-17 2.775558e-17 5.680040e+04 -7.049319e-03 1.876659e-03 -3.985016e-06 -1.833960e-04 -1.623003e-04 -2.367645e-05 7.08609
125.000000 500.000000 -0.052000 4.460000 -1.945245 1.924338 0.000000 83.864041 4.547495e-01 0 1 1 364.285755 5.820074e-03 6.931571e-01 5.000000e+02 -5.204170e-17 1.665335e-16 5.262202e+04 -7.049319e-03 1.876659e-03 -3.985016e-06 -1.833960e-04 -1.623003e-04 -2.367645e-05 8.09649
125.000000 500.000000 -0.052000 4.830000 -1.945245 1.924338 0.000000 84.872844 4.446381e-01 0 1 1 364.285755 5.959694e-03 6.395398e-01 5.000000e+02 -2.428613e-17 0.000000e+00 4.898384e+04 -7.049319e-03 1.876659e-03 -3.985016e-06 -1.833960e-04 -1.623003e-04 -2.367645e-05 9.10529
125.000000 500.000000 -0.052000 5.200000 -1.945245 1.924338 0.000000 85.931129 4.347344e-01 0 1 1 364.285755 6.101358e-03 6.039348e-01 5.000000e+02 -3.816392e-17 -5.551115e-17 4.579408e+04 -7.049319e-03 1.876659e-03 -3.985016e-06 -1.833960e-04 -1.623003e-04 -2.367645e-05 10.1636
125.000000 500.000000 -0.052000 5.570000 -1.945245 1.924338 0.000000 87.034082 4.250532e-01 0 1 1 364.285755 6.245088e-03 5.822188e-01 5.000000e+02 -5.551115e-17 -5.551115e-17 4.297886e+04 -7.049319e-03 1.876659e-03 -3.985016e-06 -1.833960e-04 -1.623003e-04 -2.367645e-05 11.2665
125.000000 500.000000 -0.026000 1.500000 -1.937405 1.932178 0.000000 76.584554 7.684743e-01 0 1 1 364.285755 4.551450e-03 4.705601e+00 5.000000e+02 6.938894e-18 1.734723e-17 1.119376e+05 -7.188395e-03 4.691648e-04 -1.209457e-05 -1.973638e-04 -1.707543e-04 -2.367645e-05 0.817003
125.000000 500.000000 -0.026000 1.870000 -1.937405 1.932178 0.000000 76.689182 7.735438e-01 0 1 1 364.285755 4.612962e-03 3.044150e+00 5.000000e+02 3.469447e-17 -1.908196e-17 1.019974e+05 -7.188395e-03 4.691648e-04 -1.209457e-05 -1.973638e-04 -1.707543e-04 -2.367645e-05 0.921631
125.000000 500.000000 -0.026000 2.240000 -1.937405 1.932178 0.000000 76.841888 7.771482e-01 0 1 1 364.285755 4.673977e-03 2.141490e+00 5.000000e+02 4.857226e-17 -6.938894e-17 9.173710e+04 -7.188395e-03 4.691648e-04 -1.209457e-05 -1.973638e-04 -1.707543e-04 -2.367645e-05 1.07434
125.000000 500.000000 -0.026000 2.610000 -1.937405 1.932178 0.000000 77.025460 5.648912e-01 0 1 1 364.285755 4.734934e-03 1.600906e+00 5.000000e+02 -4.163336e-17 8.326673e-17 8.255740e+04 -7.188395e-03 4.691648e-04 -1.209457e-05 -1.973638e-04 -1.707543e-04 -2.367645e-05 1.25791
125.000000 500.000000 -0.026000 2.980000 -1.937405 1.932178 0.000000 77.237204 5.589045e-01 0 1 1 364.285755 4.796057e-03 1.255262e+00 5.000000e+02 -3.469447e-17 -6.938894e-18 7.465924e+04 -7.188395e-03 4.691648e-04 -1.209457e-05 -1.973638e-04 -1.707543e-04 -2.367645e-05 1.46965
125.000000 500.000000 -0.026000 3.350000 -1.937405 1.932178 0.000000 77.503219 5.527510e-01 0 1 1 364.285755 4.857468e-03 1.024229e+00 5.000000e+02 6.938894e-18 0.000000e+00 6.793059e+04 -7.188395e-03 4.691648e-04 -1.209457e-05 -1.973638e-04 -1.707543e-04 -2.367645e-05 1.73567
